text	tags
2021	O
1	O
23	O
Calico	O
CNI	O
SDN	O
found	B-ACT
existing	I-ACT
endpoint	I-ACT
:	O
kubernetes	O
node	O
projectcalico	O
org	O
v3	O
uat19	O
deveu	O
sosiv	O
rqlite	O
sosivio	O
test	O
135010942	O
2021	O
1	O
23	O
500	O
est	O
non	B-RSL
existent	I-RSL
map	I-RSL
app	O
rqlite	O
controller	O
revision	O
hash	O
:	O
platform	O
sosivio	O
map	O
k8s	O
uat19	O
deveu	O
sosiv	O
io	O
eth0	O
kns	O
sosivio	O
test	O
ksa	O
calid0388b38366	O
container	O
"
"	
2021	O
1	O
23	O
trying	O
affinity	O
for	O
ip	O
24	O
host	O
uat43	O
deveu	O
sosiv	O
io	O
"
"	
2021	O
1	O
23	O
failed	B-ACT
to	I-ACT
set	I-ACT
net	I-ACT
ipv6	I-ACT
conf	O
cali72d84208fa1	O
accept	O
ra	O
0	O
:	O
open	O
proc	O
sys	O
net	O
ipv6	O
conf	O
cali72d84208fa1	O
accept	O
ra	O
:	O
tried	B-RSL
to	I-RSL
open	I-RSL
a	I-RSL
file	I-RSL
or	I-RSL
change	I-RSL
to	I-RSL
a	I-RSL
directory	I-RSL
which	I-RSL
was	I-RSL
not	I-RSL
found	I-RSL
container	I-RSL
"
"	
2021	O
1	O
23	O
Calico	O
CNI	O
SDN	B-RSL
deleting	I-RSL
device	I-RSL
in	I-RSL
netns	I-RSL
proc	I-RSL
14810	O
ns	O
net	O
container	O
"
"	
2021	O
1	O
23	O
auto	B-RSL
assigning	I-RSL
ip	I-RSL
container	O
handleid	O
container	O
network	O
interface0	O
assignargs	O
IP	O
address	O
management	O
"
"	
2021	O
1	O
23	O
Calico	O
CNI	O
SDN	O
found	B-ACT
existing	I-ACT
endpoint	I-ACT
:	O
kubernetes	O
node	O
projectcalico	O
org	O
v3	O
uat15	O
deveu	O
sosiv	O
sosivio	O
node	O
exporter	O
sosivio	O
test	O
135011819	O
2021	O
1	O
23	O
500	O
est	O
non	B-RSL
existent	I-RSL
map	I-RSL
controller	I-RSL
revision	O
hash	O
6dfdb5dcc8	O
name	O
sosivio	O
node	O
exporter	O
platform	O
sosivio	O
pod	O
template	O
generation	O
23	O
map	O
k8s	O
uat15	O
deveu	O
sosiv	O
io	O
eth0	O
kns	O
sosivio	O
test	O
ksa	O
cali02c0080aa2f	O
container	O
"
"	
volume	O
detached	O
:	O
kubernetes	O
io	O
host	O
path	O
on	O
node	O
uat0	O
deveu	O
sosiv	O
io	O
devicepath	O
"
"	
level	O
warn	O
ts	O
2021	O
1	O
23t	O
caller	O
clientv3	O
msg	O
retrying	B-ACT
of	I-ACT
unary	I-ACT
invoker	I-ACT
failed	I-ACT
target	I-ACT
endpoint	I-ACT
:	O
attempt	O
error	O
remote	B-ACT
procedure	I-ACT
call	I-ACT
failed	I-ACT
:	O
code	O
timeout	O
deadline	O
exceeded	O
desc	O
latest	O
balancer	O
error	O
:	O
all	O
subconns	O
are	O
in	O
transientfailure	O
latest	O
connection	B-ACT
error	I-ACT
:	O
connection	B-ACT
error	I-ACT
:	O
desc	O
transport	O
:	O
error	O
while	O
dialing	O
a	O
tcp	B-ACT
connection	I-ACT
was	I-ACT
attempted	I-ACT
ip	O
port	O
network	O
connection	O
attempted	O
connection	B-RSL
refused	I-RSL
\	O
"
"	
level	O
warn	O
ts	O
2021	O
1	O
23t	O
caller	O
clientv3	O
msg	O
retrying	B-ACT
of	I-ACT
unary	I-ACT
invoker	I-ACT
failed	I-ACT
target	I-ACT
endpoint	I-ACT
:	O
attempt	O
error	O
remote	B-ACT
procedure	I-ACT
call	I-ACT
failed	I-ACT
:	O
code	O
timeout	O
deadline	O
exceeded	O
desc	O
expected	B-ACT
data	I-ACT
failed	I-ACT
to	I-ACT
arrive	I-ACT
in	I-ACT
a	I-ACT
timely	I-ACT
manner	I-ACT
and	O
exceeded	B-RSL
the	I-RSL
deadline	I-RSL
set	I-RSL
as	I-RSL
the	I-RSL
timeout	I-RSL
causing	I-RSL
the	I-RSL
operation	I-RSL
to	I-RSL
eventually	I-RSL
fail	I-RSL
"
"	
container	B-ACT
volume	I-ACT
attachment	I-ACT
verification	B-RSL
started	I-RSL
:	O
kubernetes	O
io	O
host	O
path	O
pod	O
sosivio	O
node	O
exporter	O
ctrnn	O
"
"	
mounting	B-ACT
a	I-ACT
volume	I-ACT
to	I-ACT
